0,0
105,183
107,190
110,214
111,212
113,218
116,237
120,249
125,263
129,270
132,271
133,260
137,274
140,297
143,284
144,284
145,284
147,285
149,298
150,282
152,282
154,281
155,281
158,284
159,285
161,283
165,278
170,270
174,259
177,244
180,230
183,212
185,202
188,182
192,159
193,146
195,136
198,118
200,103
203,86
204,77
207,66
210,58
213,53
217,53
220,63
222,75
225,104
227,127
229,153
231,184
232,205
234,228
235,239
236,257
238,278
242,331
244,353
246,363
249,392
252,413
255,434
257,441
258,440
264,463
270,464
271,472
273,470
274,469
276,470
278,468
280,464
282,456
285,445
288,434
291,416
295,380
297,357
300,333
302,306
305,270
307,247
310,213
314,153
316,137
318,104
319,100
321,75
322,69
324,57
325,53
327,48
329,50
332,63
334,82
336,110
338,140
340,170
343,241
345,271
347,303
349,336
352,376
355,412
358,450
360,467
362,480
363,502
365,528
367,538
370,563
372,572
374,584
376,598
378,616
380,624
382,634
384,643
387,652
388,656
390,657
392,659
394,658
396,652
398,648
400,641
402,632
404,625
406,614
408,600
410,581
413,558
415,545
417,529
420,503
425,432
430,340
433,305
437,239
441,180
444,155
448,135
449,136
451,141
453,143
454,175
456,203
464,343
467,381
470,326
473,464
475,498
477,533
479,556
481,586
485,625
488,650
489,670
491,692
496,723
498,750
500,763
502,784
503,785
504,791
506,805
507,813
510,826
512,829
514,833
516,840
517,841
519,842
521,843
522,844
525,842
526,835
528,831
530,827
531,823
533,807
537,775
541,722
545,680
550,612
554,558
558,496
564,414
569,375
571,366
573,368
574,378
575,382
577,396
583,442
586,478
591,545
594,570
596,606
600,657
605,712
609,762
610,787
612,801
614,817
617,860
620,882
623,931
624,938
626,945
628,950
632,1000
634,1002
637,1039
641,1045
642,1043
645,1058
647,1066
649,1068
652,1074
655,1070
658,1068
662,1054
664,1042
665,1039
667,1029
669,1043
672,995
674,969
677,918
680,891
684,841
687,809
690,784
693,762
697,743
699,733
702,733
704,738
705,743
706,749
708,754
710,762
713,781
717,808
719,821
722,846
725,871
730,934
732,965
736,1018
738,1033
740,1062
743,1088
745,1115
748,1150
750,1168
753,1211
755,1239
757,1251
759,1263
761,1295
762,1310
764,1329
766,1344
769,1362
772,1378
773,1376
774,1382
775,1391
777,1403
778,1410
782,1425
783,1420
785,1420
787,1423
789,1418
790,1414
793,1410
795,1408
797,1400
799,1392
800,1387
802,1365
804,1352
807,1336
810,1322
812,1313
815,1305
818,1298
823,1280
826,1270
830,1252
834,1254
835,1259
838,1264
839,1268
843,1286
845,1294
848,1306
851,1327
